# Tier means
tier,mean,hdi_lo,hdi_hi
1,-0.5957741809046723,-1.1365495662813196,-0.06380014664436097
2,-0.13147506762463218,-0.6393359679866568,0.44235972112747807
3,0.1602716524320332,-0.36439030550604196,0.7236906263827491
4,0.6355848135025279,0.14062754995989332,1.212259210050747

# Adjacent-tier differences
tier_pair,diff_mean,diff_hdi_lo,diff_hdi_hi
2-1,0.46429911328004103,0.30856187226290305,0.612008197671176
3-2,0.291746720056665,0.16188142464095986,0.4215810845805118
4-3,0.4753131610704958,0.31825067593293116,0.6275606905302008
