# Tier means
tier,mean,hdi_lo,hdi_hi
1,-0.4014831874640658,-0.865443921963712,0.01899736425737439
2,-0.006141813463271062,-0.433223661249168,0.4237531017043968
3,0.24787288184188214,-0.19024813210387345,0.6604797101434395
4,0.6018804914365404,0.1416764312657288,1.0440453969664678

# Adjacent-tier differences
tier_pair,diff_mean,diff_hdi_lo,diff_hdi_hi
2-1,0.3953413740007938,0.19795137534208868,0.6020530478766551
3-2,0.2540146953051521,0.11252194739462637,0.40094769207157394
4-3,0.35400760959465954,0.17532006797953426,0.5609241084968167
